t;soil_temperature;AA_input_rate_phloem;sucrose_input_rate;cytokinins_root_shoot_xylem;C_mineralN_soil
0;12;NA;NA;NA;NA
1;13.23913043;NA;NA;NA;0.428571004
2;13.19166667;NA;NA;NA;0.428571009
3;13.152;NA;NA;NA;0.428571013
4;13.12307692;NA;NA;NA;0.428571017
5;13.09259259;NA;NA;NA;0.428571022
6;13.06071429;NA;NA;NA;0.428571026
7;13.03103448;NA;NA;NA;0.42857103
8;13.00333333;NA;NA;NA;0.428571034
9;12.98709677;NA;NA;NA;0.428571039
10;12.996875;NA;NA;NA;0.428571043
11;13.03030303;NA;NA;NA;0.428571047
12;13.05151515;NA;NA;NA;0.428571051
13;13.08484848;NA;NA;NA;0.428571056
14;13.13333333;NA;NA;NA;0.42857106
15;13.20606061;NA;NA;NA;0.428571064
16;13.30909091;NA;NA;NA;0.428571069
17;13.43030303;NA;NA;NA;0.428571073
18;13.54545455;NA;NA;NA;0.428571078
19;13.64545455;NA;NA;NA;0.428571082
20;13.74545455;NA;NA;NA;0.428571087
21;13.82121212;NA;NA;NA;0.428571091
22;13.85757576;NA;NA;NA;0.428571096
23;13.88787879;NA;NA;NA;0.4285711
24;13.90909091;NA;NA;NA;0.428571105
25;13.90606061;NA;NA;NA;0.42857111
26;13.91515152;NA;NA;NA;0.428571114
27;13.92121212;NA;NA;NA;0.428571119
28;13.94242424;NA;NA;NA;0.428571123
29;13.97272727;NA;NA;NA;0.428571128
30;14.01515152;NA;NA;NA;0.428571133
31;14.05757576;NA;NA;NA;0.428571137
32;14.10606061;NA;NA;NA;0.428571142
33;14.15454545;NA;NA;NA;0.428571147
34;14.22424242;NA;NA;NA;0.428571151
35;14.34848485;NA;NA;NA;0.428571156
36;14.42424242;NA;NA;NA;0.428571161
37;14.5;NA;NA;NA;0.428571166
38;14.56060606;NA;NA;NA;0.42857117
39;14.58787879;NA;NA;NA;0.428571175
40;14.63939394;NA;NA;NA;0.42857118
41;14.7;NA;NA;NA;0.428571185
42;14.73939394;NA;NA;NA;0.42857119
43;14.68484848;NA;NA;NA;0.428571195
44;14.59393939;NA;NA;NA;0.4285712
45;14.45757576;NA;NA;NA;0.428571204
46;14.3;NA;NA;NA;0.428571209
47;14.11515152;NA;NA;NA;0.428571214
48;13.93333333;NA;NA;NA;0.428571218
49;13.71515152;NA;NA;NA;0.428571223
50;13.47575758;NA;NA;NA;0.428571227
51;13.23030303;NA;NA;NA;0.428571232
52;12.98181818;NA;NA;NA;0.428571236
53;12.70909091;NA;NA;NA;0.42857124
54;12.45454545;NA;NA;NA;0.428571244
55;12.22121212;NA;NA;NA;0.428571248
56;11.98787879;NA;NA;NA;0.428571252
57;11.76060606;NA;NA;NA;0.428571256
58;11.58484848;NA;NA;NA;0.42857126
59;11.42727273;NA;NA;NA;0.428571264
60;11.33939394;NA;NA;NA;0.428571267
61;11.29393939;NA;NA;NA;0.428571271
62;11.29393939;NA;NA;NA;0.428571275
63;11.24848485;NA;NA;NA;0.428571278
64;11.2;NA;NA;NA;0.428571282
65;11.15151515;NA;NA;NA;0.428571286
66;11.11212121;NA;NA;NA;0.428571289
67;11.01515152;NA;NA;NA;0.428571293
68;10.77575758;NA;NA;NA;0.428571297
69;10.56969697;NA;NA;NA;0.4285713
70;10.36060606;1.12E-08;5.41E-07;0;0.428571304
71;10.15151515;1.12E-08;5.41E-07;0;0.428571307
72;9.97272727;1.14E-08;5.35E-07;0;0.428571313
73;9.78484848;4.14E-09;1.88E-07;0;0.428570728
74;9.5969697;3.26E-09;1.43E-07;0;0.428570123
75;9.43939394;2.77E-09;1.17E-07;0;0.428569589
76;9.34545455;2.39E-09;9.64E-08;0;0.428569094
77;9.25454546;2.10E-09;8.05E-08;0;0.428568631
78;9.14242424;1.88E-09;6.87E-08;0;0.428568196
79;9.02121212;1.72E-09;5.99E-08;0;0.428567783
80;8.9;1.59E-09;5.32E-08;0;0.428567394
81;8.79090909;1.50E-09;4.81E-08;0;0.428567024
82;8.74848485;1.42E-09;4.42E-08;0;0.42856667
83;8.78484848;1.37E-09;4.14E-08;0;0.428566329
84;8.87575758;1.34E-09;3.94E-08;0;0.428566
85;9.00606061;1.32E-09;3.79E-08;0;0.428565664
86;9.22121212;1.32E-09;3.71E-08;0;0.428565346
87;9.42727273;1.32E-09;3.67E-08;0;0.428565035
88;9.61818182;1.34E-09;3.65E-08;0;0.428564731
89;9.81818182;1.36E-09;3.67E-08;0;0.428564431
90;9.96060606;1.38E-09;3.71E-08;0;0.428564136
91;10.02727273;1.40E-09;3.76E-08;0;0.428563847
92;10.00909091;1.41E-09;3.80E-08;0;0.428563563
93;9.94242424;1.42E-09;3.85E-08;0;0.428563285
94;9.8;1.42E-09;3.88E-08;0;0.428563013
95;9.6030303;1.42E-09;3.91E-08;0;0.428562748
96;9.41212121;1.40E-09;3.93E-08;0;0.428562481
97;9.23030303;1.39E-09;3.95E-08;0;0.42856222
98;9.03333333;1.38E-09;3.97E-08;0;0.428561966
99;8.85151515;1.36E-09;3.99E-08;0;0.428561716
100;8.70606061;1.34E-09;4.02E-08;0;0.428561478
101;8.66969697;1.33E-09;4.07E-08;0;0.428561241
102;8.62727273;1.32E-09;4.12E-08;0;0.428561008
103;8.56363636;1.31E-09;4.16E-08;0;0.428560777
