t;soil_temperature;AA_input_rate_phloem;sucrose_input_rate;cytokinins_root_shoot_xylem
0;12;NA;NA;NA
1;13.23913043;NA;NA;NA
2;13.19166667;NA;NA;NA
3;13.152;NA;NA;NA
4;13.12307692;NA;NA;NA
5;13.09259259;NA;NA;NA
6;13.06071429;NA;NA;NA
7;13.03103448;NA;NA;NA
8;13.00333333;NA;NA;NA
9;12.98709677;NA;NA;NA
10;12.996875;NA;NA;NA
11;13.03030303;NA;NA;NA
12;13.05151515;NA;NA;NA
13;13.08484848;NA;NA;NA
14;13.13333333;NA;NA;NA
15;13.20606061;NA;NA;NA
16;13.30909091;NA;NA;NA
17;13.43030303;NA;NA;NA
18;13.54545455;NA;NA;NA
19;13.64545455;NA;NA;NA
20;13.74545455;NA;NA;NA
21;13.82121212;NA;NA;NA
22;13.85757576;NA;NA;NA
23;13.88787879;NA;NA;NA
24;13.90909091;NA;NA;NA
25;13.90606061;NA;NA;NA
26;13.91515152;NA;NA;NA
27;13.92121212;NA;NA;NA
28;13.94242424;NA;NA;NA
29;13.97272727;NA;NA;NA
30;14.01515152;NA;NA;NA
31;14.05757576;NA;NA;NA
32;14.10606061;NA;NA;NA
33;14.15454545;NA;NA;NA
34;14.22424242;NA;NA;NA
35;14.34848485;NA;NA;NA
36;14.42424242;NA;NA;NA
37;14.5;NA;NA;NA
38;14.56060606;NA;NA;NA
39;14.58787879;NA;NA;NA
40;14.63939394;NA;NA;NA
41;14.7;NA;NA;NA
42;14.73939394;NA;NA;NA
43;14.68484848;NA;NA;NA
44;14.59393939;NA;NA;NA
45;14.45757576;NA;NA;NA
46;14.3;NA;NA;NA
47;14.11515152;NA;NA;NA
48;13.93333333;NA;NA;NA
49;13.71515152;NA;NA;NA
50;13.47575758;NA;NA;NA
51;13.23030303;NA;NA;NA
52;12.98181818;NA;NA;NA
53;12.70909091;NA;NA;NA
54;12.45454545;NA;NA;NA
55;12.22121212;NA;NA;NA
56;11.98787879;NA;NA;NA
57;11.76060606;NA;NA;NA
58;11.58484848;NA;NA;NA
59;11.42727273;NA;NA;NA
60;11.33939394;NA;NA;NA
61;11.29393939;NA;NA;NA
62;11.29393939;NA;NA;NA
63;11.24848485;NA;NA;NA
64;11.2;NA;NA;NA
65;11.15151515;NA;NA;NA
66;11.11212121;NA;NA;NA
67;11.01515152;NA;NA;NA
68;10.77575758;NA;NA;NA
69;10.56969697;NA;NA;NA
70;10.36060606;1.12393E-08;5.41069E-07;0
71;10.15151515;1.12393E-08;5.41069E-07;0
72;9.97272727;1.13835E-08;5.34746E-07;0
73;9.78484848;4.1395E-09;1.88296E-07;0
74;9.5969697;3.25928E-09;1.42826E-07;0
75;9.43939394;2.76905E-09;1.16511E-07;0
76;9.34545455;2.39487E-09;9.63546E-08;0
77;9.25454546;2.10051E-09;8.04666E-08;0
78;9.14242424;1.88354E-09;6.86981E-08;0
79;9.02121212;1.72125E-09;5.99495E-08;0
80;8.9;1.59326E-09;5.31954E-08;0
81;8.79090909;1.49559E-09;4.80753E-08;0
82;8.74848485;1.42351E-09;4.42363E-08;0
83;8.78484848;1.37336E-09;4.14139E-08;0
84;8.87575758;1.34044E-09;3.9366E-08;0
85;9.00606061;1.32217E-09;3.7941E-08;0
86;9.22121212;1.31899E-09;3.71071E-08;0
87;9.42727273;1.32459E-09;3.6657E-08;0
88;9.61818182;1.33716E-09;3.65316E-08;0
89;9.81818182;1.35722E-09;3.67325E-08;0
90;9.96060606;1.37877E-09;3.71024E-08;0
91;10.02727273;1.39814E-09;3.75508E-08;0
92;10.00909091;1.41215E-09;3.7997E-08;0
93;9.94242424;1.42146E-09;3.84509E-08;0
94;9.8;1.42263E-09;3.88118E-08;0
95;9.6030303;1.41604E-09;3.90728E-08;0
96;9.41212121;1.40413E-09;3.92599E-08;0
97;9.23030303;1.39176E-09;3.95049E-08;0
98;9.03333333;1.37563E-09;3.97011E-08;0
99;8.85151515;1.3583E-09;3.99029E-08;0
100;8.70606061;1.3426E-09;4.01973E-08;0
101;8.66969697;1.33275E-09;4.06793E-08;0
102;8.62727273;1.32301E-09;4.11779E-08;0
103;8.56363636;1.3119E-09;4.1646E-08;0
104;8.51515151;1.30171E-09;4.21492E-08;0
105;8.48181818;1.29266E-09;4.26925E-08;0
106;8.51212121;1.28815E-09;4.3362E-08;0
107;8.57878788;1.28828E-09;4.41835E-08;0
108;8.68181818;1.29271E-09;4.51473E-08;0
109;8.82727273;1.30216E-09;4.62823E-08;0
110;8.95757576;1.31263E-09;4.74585E-08;0
111;9.17878788;1.33191E-09;4.89471E-08;0
112;9.42424242;1.3582E-09;5.07315E-08;0
113;9.66060606;1.38526E-09;5.25508E-08;0
114;9.86363636;1.4124E-09;5.43901E-08;0
115;9.96666667;1.43237E-09;5.59923E-08;0
116;9.97272727;1.4429E-09;5.72768E-08;0
117;9.93030303;1.44625E-09;5.8323E-08;0
118;9.86666667;1.44423E-09;5.91871E-08;0
119;9.72727273;1.43212E-09;5.96729E-08;0
120;9.6030303;1.41746E-09;6.00624E-08;0
121;9.49090909;1.40088E-09;6.03655E-08;0
122;9.37878788;1.38229E-09;6.05668E-08;0
123;9.32424242;1.36704E-09;6.0881E-08;0
124;9.30606061;1.35451E-09;6.12761E-08;0
125;9.31212121;1.34442E-09;6.17395E-08;0
126;9.31515152;1.33481E-09;6.21899E-08;0
127;9.35454546;1.32884E-09;6.27679E-08;0
128;9.40909091;1.32515E-09;6.3415E-08;0
129;9.4969697;1.32536E-09;6.42084E-08;0
130;9.59090909;1.3275E-09;6.50623E-08;0
131;9.72727273;1.33683E-09;6.61519E-08;0
132;9.91212121;1.35095E-09;6.7448E-08;0
133;10.12727273;1.36995E-09;6.89572E-08;0
134;10.35454545;1.39247E-09;7.06212E-08;0
135;10.63939394;1.42262E-09;7.26377E-08;0
136;10.94242424;1.4574E-09;7.48711E-08;0
137;11.25151515;1.4961E-09;7.7302E-08;0
138;11.54242424;1.53591E-09;7.98047E-08;0
139;11.74848485;1.56907E-09;8.20183E-08;0
140;11.9030303;1.59674E-09;8.4017E-08;0
141;11.9969697;1.616E-09;8.56577E-08;0
142;12.04545455;1.6274E-09;8.69679E-08;0
143;12.11818182;1.63741E-09;8.82578E-08;0
144;12.12424242;1.63676E-09;8.90512E-08;0
145;12.10909091;1.63073E-09;8.96117E-08;0
146;12.13636364;1.62565E-09;9.02297E-08;0
147;12.18484848;1.62071E-09;9.08378E-08;0
148;12.27272727;1.61921E-09;9.15963E-08;0
149;12.39090909;1.62084E-09;9.24785E-08;0
150;12.51818182;1.62416E-09;9.34116E-08;0
151;12.63030303;1.62653E-09;9.42683E-08;0
152;12.74242424;1.62923E-09;9.51267E-08;0
153;12.83333333;1.62936E-09;9.58368E-08;0
154;12.95454545;1.63253E-09;9.67035E-08;0
155;13.09393939;1.63709E-09;9.7625E-08;0
156;13.26060606;1.64501E-09;9.87155E-08;0
157;13.48787879;1.6599E-09;1.00175E-07;0
158;13.73636364;1.67837E-09;1.01812E-07;0
159;13.98181818;1.69842E-09;1.03526E-07;0
160;14.22121212;1.7191E-09;1.05261E-07;0
161;14.42727273;1.73963E-09;1.06971E-07;0
162;14.62727273;1.76029E-09;1.08543E-07;0
163;14.80606061;1.77991E-09;1.09949E-07;0
164;14.96363636;1.79656E-09;1.11102E-07;0
165;15.04848485;1.80355E-09;1.11656E-07;0
166;15.10909091;1.80604E-09;1.1193E-07;0
167;15.15151515;1.80289E-09;1.11846E-07;0
168;15.14545455;1.79186E-09;1.1129E-07;0
169;15.11818182;1.77584E-09;1.10431E-07;0
170;15.08484848;1.7565E-09;1.09354E-07;0
171;15.06666667;1.73726E-09;1.08245E-07;0
172;15.06060606;1.71807E-09;1.07093E-07;0
173;15.05151515;1.69824E-09;1.05863E-07;0
