emergence_delay_in_thermal_time,number_of_adventitious_roots_per_event
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
31536000,1
