step_number;time_in_days;time_in_hours;soil_temperature_in_Celsius;Thermal_time_in_degree;soil_temperature;sucrose_input_rate;time_in_hours_at_20_degrees;time_in_days_at_20degree
0;0;0;4.614067597;0;20;2.39E-12;0;0
1;1;24;5.983824353;4.614067597;20;7.71E-12;5.536881116;0.23070338
2;2;48;7.984853074;10.59789195;20;1.55E-11;12.71747034;0.529894598
3;3;72;7.884304876;18.58274502;20;1.51E-11;22.29929403;0.929137251
4;4;96;7.041580246;26.4670499;20;1.18E-11;31.76045988;1.323352495
5;5;120;6.826665021;33.50863015;20;1.10E-11;40.21035618;1.675431507
6;6;144;7.432579114;40.33529517;20;1.33E-11;48.4023542;2.016764758
7;7;168;7.928513003;47.76787428;20;1.53E-11;57.32144914;2.388393714
8;8;192;7.945078869;55.69638728;20;1.53E-11;66.83566474;2.784819364
9;9;216;7.573922901;63.64146615;20;1.39E-11;76.36975938;3.182073308
10;10;240;7.134477099;71.21538905;20;1.22E-11;85.45846686;3.560769453
11;11;264;7.703162358;78.34986615;20;1.44E-11;94.01983938;3.917493308
12;12;288;8.893689939;86.05302851;20;1.90E-11;103.2636342;4.302651426
13;13;312;8.063270958;94.94671845;20;1.58E-11;113.9360621;4.747335923
14;14;336;9.455499;103.0099894;20;2.12E-11;123.6119873;5.15049947
15;15;360;9.794209393;112.4654884;20;2.25E-11;134.9585861;5.62327442
16;16;384;9.829791417;122.2596978;20;2.27E-11;146.7116374;6.11298489
17;17;408;9.972707957;132.0894892;20;2.32E-11;158.5073871;6.604474461
18;18;432;9.38813578;142.0621972;20;2.10E-11;170.4746366;7.103109859
19;19;456;9.056809527;151.450333;20;1.97E-11;181.7403995;7.572516648
20;20;480;8.56937523;160.5071425;20;1.78E-11;192.608571;8.025357124
21;21;504;7.885818813;169.0765177;20;1.51E-11;202.8918213;8.453825886
22;22;528;7.257885095;176.9623365;20;1.27E-11;212.3548038;8.848116826
23;23;552;6.979530707;184.2202216;20;1.16E-11;221.0642659;9.211011081
24;24;576;6.608374739;191.1997523;20;1.01E-11;229.4397028;9.559987616
25;25;600;7.106714325;197.8081271;20;1.21E-11;237.3697525;9.890406353
26;26;624;7.960552707;204.9148414;20;1.54E-11;245.8978097;10.24574207
27;27;648;8.815682966;212.8753941;20;1.87E-11;255.4504729;10.6437697
28;28;672;10.14328074;221.6910771;20;2.39E-11;266.0292925;11.08455385
29;29;696;10.46245098;231.8343578;20;2.51E-11;278.2012294;11.59171789
30;30;720;9.608182672;242.2968088;20;2.18E-11;290.7561705;12.11484044
31;31;744;8.727265557;251.9049915;20;1.84E-11;302.2859897;12.59524957
32;32;768;7.711548098;260.632257;20;1.45E-11;312.7587084;13.03161285
33;33;792;6.261862816;268.3438051;20;8.84E-12;322.0125661;13.41719026
34;34;816;7.13169865;274.6056679;20;1.22E-11;329.5268015;13.7302834
35;35;840;7.40812409;281.7373666;20;1.34E-11;338.0848399;14.08686833
36;36;864;7.041106976;289.1454907;20;1.20E-11;346.9745888;14.45727453
37;37;888;6.823459205;296.1865976;20;1.13E-11;355.4239172;14.80932988
38;38;912;11.48321627;303.0100568;20;2.96E-11;363.6120682;15.15050284
39;39;936;7.341285752;314.4932731;20;1.37E-11;377.3919277;15.72466366
40;40;960;8.032753003;321.8345589;20;1.68E-11;386.2014706;16.09172794
41;41;984;8.724220253;329.8673119;20;2.01E-11;395.8407742;16.49336559
42;42;1008;8.831979205;338.5915321;20;2.13E-11;406.3098386;16.92957661
43;43;1032;8.608814054;347.4235113;20;2.15E-11;416.9082136;17.37117557
44;44;1056;8.385648902;356.0323254;20;2.22E-11;427.2387905;17.80161627
45;45;1080;7.875567688;364.4179743;20;2.22E-11;437.3015691;18.22089871
46;46;1104;7.532447547;372.293542;20;2.36E-11;446.7522504;18.6146771
47;47;1128;8.166373249;379.8259895;20;2.95E-11;455.7911874;18.99129948
48;48;1152;8.65761562;387.9923628;20;3.59E-11;465.5908353;19.39961814
49;49;1176;10.13825904;396.6499784;20;4.73E-11;475.9799741;19.83249892
50;50;1200;10.5242699;406.7882374;20;5.59E-11;488.1458849;20.33941187
51;51;1224;10.91028076;417.3125073;20;6.60E-11;500.7750088;20.86562537
52;52;1248;11.29629161;428.2227881;20;7.80E-11;513.8673457;21.4111394
53;53;1272;11.50813231;439.5190797;20;8.71E-11;527.4228956;21.97595399
54;54;1296;11.39459076;451.027212;20;7.71E-11;541.2326544;22.5513606
55;55;1320;10.28042206;462.4218028;20;9.46E-11;554.9061633;23.12109014
56;56;1344;10.62399125;472.7022248;20;1.15E-10;567.2426698;23.63511124
57;57;1368;11.82298786;483.3262161;20;1.38E-10;579.9914593;24.1663108
58;58;1392;12.29057413;495.1492039;20;1.64E-10;594.1790447;24.7574602
59;59;1416;14.92323225;507.4397781;20;1.93E-10;608.9277337;25.3719889
60;60;1440;15.30514153;522.3630103;20;2.26E-10;626.8356124;26.11815052
61;61;1464;15.6870508;537.6681519;20;2.62E-10;645.2017822;26.88340759
62;62;1488;16.5291023;553.3552027;20;3.01E-10;664.0262432;27.66776013
63;63;1512;15.48633031;569.884305;20;3.43E-10;683.8611659;28.49421525
64;64;1536;15.55032373;585.3706353;20;3.88E-10;702.4447623;29.26853176
65;65;1560;16.99973865;600.920959;20;4.36E-10;721.1051508;30.04604795
66;66;1584;16.89275062;617.9206976;20;4.86E-10;741.5048372;30.89603488
67;67;1608;16.60759383;634.8134483;20;5.38E-10;761.7761379;31.74067241
68;68;1632;15.49245008;651.4210421;20;5.92E-10;781.7052505;32.5710521
69;69;1656;14.08535548;666.9134922;20;6.48E-10;800.2961906;33.34567461
70;70;1680;13.25941808;680.9988477;20;7.04E-10;817.1986172;34.04994238
71;71;1704;13.28479249;694.2582657;20;7.61E-10;833.1099189;34.71291329
72;72;1728;13.46301264;707.5430582;20;8.18E-10;849.0516699;35.37715291
73;73;1752;13.72353096;721.0060709;20;8.75E-10;865.207285;36.05030354
74;74;1776;13.94585095;734.7296018;20;9.31E-10;881.6755222;36.73648009
75;75;1800;14.41337067;748.6754528;20;9.85E-10;898.4105433;37.43377264
76;76;1824;14.32766897;763.0888234;20;1.04E-09;915.7065881;38.15444117
77;77;1848;15.2709626;777.4164924;20;1.09E-09;932.8997909;38.87082462
78;78;1872;15.96337121;792.687455;20;1.14E-09;951.224946;39.63437275
79;79;1896;16.35484745;808.6508262;20;1.18E-09;970.3809915;40.43254131
80;80;1920;16.02381369;825.0056737;20;1.22E-09;990.0068084;41.25028368
81;81;1944;15.50694376;841.0294874;20;1.26E-09;1009.235385;42.05147437
82;82;1968;14.12451502;856.5364311;20;1.30E-09;1027.843717;42.82682156
83;83;1992;13.36510748;870.6609461;20;1.33E-09;1044.793135;43.53304731
84;84;2016;13.56708813;884.0260536;20;1.35E-09;1060.831264;44.20130268
85;85;2040;13.76493902;897.5931418;20;1.38E-09;1077.11177;44.87965709
86;86;2064;13.98802652;911.3580808;20;1.39E-09;1093.629697;45.56790404
87;87;2088;14.92413852;925.3461073;20;1.41E-09;1110.415329;46.26730536
88;88;2112;16.72723646;940.2702458;20;1.42E-09;1128.324295;47.01351229
89;89;2136;17.48847243;956.9974823;20;1.43E-09;1148.396979;47.84987411
90;90;2160;17.50489505;974.4859547;20;1.43E-09;1169.383146;48.72429774
91;91;2184;15.82209493;991.9908498;20;1.43E-09;1190.38902;49.59954249
92;92;2208;14.60881374;1007.812945;20;1.42E-09;1209.375534;50.39064723
93;93;2232;14.79112031;1022.421758;20;1.42E-09;1226.90611;51.12108792
94;94;2256;15.16719413;1037.212879;20;1.40E-09;1244.655454;51.86064394
95;95;2280;16.51175081;1052.380073;20;1.39E-09;1262.856087;52.61900364
96;96;2304;16.16163084;1068.891824;20;1.37E-09;1282.670188;53.44459118
97;97;2328;17.33001094;1085.053455;20;1.35E-09;1302.064145;54.25267273
98;98;2352;16.69701589;1102.383465;20;1.33E-09;1322.860159;55.11917327
99;99;2376;15.43494672;1119.080481;20;1.31E-09;1342.896578;55.95402407
100;100;2400;14.98760492;1134.515428;20;1.28E-09;1361.418514;56.7257714
101;101;2424;14.54026312;1149.503033;20;1.25E-09;1379.40364;57.47515165
102;102;2448;15.71884589;1164.043296;20;1.22E-09;1396.851955;58.20216481
103;103;2472;15.94907309;1179.762142;20;1.19E-09;1415.71457;58.9881071
104;104;2496;15.93487844;1195.711215;20;1.16E-09;1434.853458;59.78556075
105;105;2520;17.24512749;1211.646094;20;1.13E-09;1453.975312;60.58230468
106;106;2544;17.71271377;1228.891221;20;1.09E-09;1474.669465;61.44456105
107;107;2568;18.50002486;1246.603935;20;1.06E-09;1495.924722;62.33019674
108;108;2592;18.81276695;1265.10396;20;1.03E-09;1518.124752;63.25519798
109;109;2616;14.45771618;1283.916727;20;9.92E-10;1540.700072;64.19583633
110;110;2640;17.93296331;1298.374443;20;9.58E-10;1558.049331;64.91872214
111;111;2664;17.41606976;1316.307406;20;9.23E-10;1579.568887;65.8153703
112;112;2688;16.91929478;1333.723476;20;8.89E-10;1600.468171;66.68617379
113;113;2712;17.43541282;1350.642771;20;8.55E-10;1620.771325;67.53213853
114;114;2736;18.09324058;1368.078183;20;8.22E-10;1641.69382;68.40390917
115;115;2760;18.6444633;1386.171424;20;7.89E-10;1663.405709;69.3085712
116;116;2784;19.15735545;1404.815887;20;7.57E-10;1685.779065;70.24079437
117;117;2808;19.58333814;1423.973243;20;7.25E-10;1708.767891;71.19866214
118;118;2832;19.51596697;1443.556581;20;6.94E-10;1732.267897;72.17782905
119;119;2856;19.18019278;1463.072548;20;6.64E-10;1755.687057;73.15362739
120;120;2880;17.94232271;1482.252741;20;6.35E-10;1778.703289;74.11263703
121;121;2904;17.2832932;1500.195063;20;6.06E-10;1800.234076;75.00975317
122;122;2928;16.720316;1517.478357;20;5.78E-10;1820.974028;75.87391783
123;123;2952;17.60836448;1534.198673;20;5.52E-10;1841.038407;76.70993363
124;124;2976;16.56275092;1551.807037;20;5.26E-10;1862.168444;77.59035185
125;125;3000;15.60213579;1568.369788;20;5.00E-10;1882.043746;78.4184894
126;126;3024;14.80394157;1583.971924;20;4.76E-10;1900.766309;79.19859619
127;127;3048;14.48596113;1598.775865;20;4.53E-10;1918.531038;79.93879327
128;128;3072;16.2787686;1613.261826;20;4.30E-10;1935.914192;80.66309132
129;129;3096;17.50763558;1629.540595;20;4.09E-10;1955.448714;81.47702975
130;130;3120;18.46855587;1647.048231;20;3.88E-10;1976.457877;82.35241153
131;131;3144;19.13239651;1665.516787;20;3.68E-10;1998.620144;83.27583933
132;132;3168;18.47605474;1684.649183;20;3.49E-10;2021.57902;84.23245915
133;133;3192;18.94398092;1703.125238;20;3.31E-10;2043.750285;85.15626189
134;134;3216;20.34546101;1722.069219;20;3.13E-10;2066.483062;86.10346093
135;135;3240;19.07238288;1742.41468;20;2.97E-10;2090.897616;87.12073398
136;136;3264;18.30506068;1761.487063;20;2.81E-10;2113.784475;88.07435313
137;137;3288;17.33085757;1779.792123;20;2.66E-10;2135.750548;88.98960616
138;138;3312;18.39275164;1797.122981;20;2.51E-10;2156.547577;89.85614904
139;139;3336;19.48640771;1815.515732;20;2.38E-10;2178.618879;90.77578662
140;140;3360;19.57076237;1835.00214;20;2.25E-10;2202.002568;91.75010701
141;141;3384;18.36913127;1854.572903;20;2.12E-10;2225.487483;92.72864513
142;142;3408;17.61838973;1872.942034;20;2.00E-10;2247.530441;93.64710169
143;143;3432;16.68642135;1890.560424;20;1.89E-10;2268.672508;94.52802118
144;144;3456;17.55380234;1907.246845;20;1.78E-10;2288.696214;95.36234224
145;145;3480;18.53379307;1924.800647;20;1.68E-10;2309.760777;96.24003236
146;146;3504;19.51378381;1943.33444;20;1.59E-10;2332.001328;97.16672202
147;147;3528;19.63993827;1962.848224;20;1.50E-10;2355.417869;98.14241121
148;148;3552;20.22028901;1982.488162;20;1.41E-10;2378.985795;99.12440812
149;149;3576;20.80063976;2002.708451;20;1.33E-10;2403.250142;100.1354226
150;150;3600;20.64217775;2023.509091;20;1.25E-10;2428.210909;101.1754546
151;151;3624;20.66823704;2044.151269;20;1.18E-10;2452.981523;102.2075634
152;152;3648;21.62616382;2064.819506;20;1.11E-10;2477.783407;103.2409753
153;153;3672;21.50483564;2086.44567;20;1.05E-10;2503.734804;104.3222835
154;154;3696;21.00023246;2107.950505;20;9.85E-11;2529.540606;105.3975253
155;155;3720;19.50247518;2128.950738;20;9.27E-11;2554.740885;106.4475369
156;156;3744;18.22113588;2148.453213;20;8.72E-11;2578.143856;107.4226607
157;157;3768;17.56980881;2166.674349;20;8.21E-11;2600.009219;108.3337174
158;158;3792;16.74387141;2184.244158;20;7.72E-11;2621.092989;109.2122079
159;159;3816;15.91793401;2200.988029;20;7.26E-11;2641.185635;110.0494015
160;160;3840;18.22393283;2216.905963;20;6.83E-11;2660.287156;110.8452982
161;161;3864;18.9447085;2235.129896;20;6.42E-11;2682.155875;111.7564948
162;162;3888;20.09949178;2254.074604;20;6.03E-11;2704.889525;112.7037302
163;163;3912;21.25427505;2274.174096;20;5.67E-11;2729.008916;113.7087048
164;164;3936;19.17792627;2295.428371;20;5.33E-11;2754.514046;114.7714186
165;165;3960;18.79095728;2314.606298;20;5.01E-11;2777.527557;115.7303149
166;166;3984;18.40398829;2333.397255;20;4.70E-11;2800.076706;116.6698627
167;167;4008;17.47853987;2351.801243;20;4.42E-11;2822.161492;117.5900622
168;168;4032;16.56013931;2369.279783;20;4.15E-11;2843.13574;118.4639892
169;169;4056;15.5859362;2385.839922;20;3.90E-11;2863.007907;119.2919961
170;170;4080;16.66165863;2401.425859;20;3.66E-11;2881.71103;120.0712929
171;171;4104;16.4589599;2418.087517;20;3.43E-11;2901.705021;120.9043759
172;172;4128;15.80489883;2434.546477;20;3.22E-11;2921.455772;121.7273239
173;173;4152;16.80282278;2450.351376;20;3.03E-11;2940.421651;122.5175688
174;174;4176;17.73646252;2467.154199;20;2.84E-11;2960.585038;123.3577099
175;175;4200;18.75174505;2484.890661;20;2.67E-11;2981.868793;124.2445331
176;176;4224;19.31214844;2503.642406;20;2.50E-11;3004.370887;125.1821203
177;177;4248;19.57831978;2522.954555;20;2.35E-11;3027.545466;126.1477277
178;178;4272;20.24158128;2542.532874;20;2.20E-11;3051.039449;127.1266437
179;179;4296;20.90484277;2562.774456;20;2.06E-11;3075.329347;128.1387228
