t;sucrose_input_rate;soil_temperature
0;2.39E-12;20
1;3.35E-12;20
2;4.31E-12;20
3;5.27E-12;20
4;6.23E-12;20
5;7.19E-12;20
6;8.21E-12;20
7;9.30E-12;20
8;1.04E-11;20
9;1.15E-11;20
10;1.26E-11;20
11;1.36E-11;20
12;1.47E-11;20
13;1.55E-11;20
14;1.54E-11;20
15;1.54E-11;20
16;1.54E-11;20
17;1.53E-11;20
18;1.53E-11;20
19;1.52E-11;20
20;1.52E-11;20
21;1.52E-11;20
22;1.51E-11;20
23;1.49E-11;20
24;1.45E-11;20
25;1.42E-11;20
26;1.38E-11;20
27;1.35E-11;20
28;1.31E-11;20
29;1.28E-11;20
30;1.24E-11;20
31;1.21E-11;20
32;1.18E-11;20
33;1.17E-11;20
34;1.16E-11;20
35;1.15E-11;20
36;1.14E-11;20
37;1.13E-11;20
38;1.12E-11;20
39;1.11E-11;20
40;1.10E-11;20
41;1.12E-11;20
42;1.15E-11;20
43;1.18E-11;20
44;1.21E-11;20
45;1.23E-11;20
46;1.26E-11;20
47;1.29E-11;20
48;1.32E-11;20
49;1.34E-11;20
50;1.37E-11;20
51;1.39E-11;20
52;1.41E-11;20
53;1.43E-11;20
54;1.46E-11;20
55;1.48E-11;20
56;1.50E-11;20
57;1.52E-11;20
58;1.53E-11;20
59;1.53E-11;20
60;1.53E-11;20
61;1.53E-11;20
62;1.53E-11;20
63;1.53E-11;20
64;1.53E-11;20
65;1.53E-11;20
66;1.53E-11;20
67;1.53E-11;20
68;1.51E-11;20
69;1.50E-11;20
70;1.48E-11;20
71;1.47E-11;20
72;1.45E-11;20
73;1.44E-11;20
74;1.42E-11;20
75;1.41E-11;20
76;1.40E-11;20
77;1.38E-11;20
78;1.36E-11;20
79;1.34E-11;20
80;1.32E-11;20
81;1.30E-11;20
82;1.28E-11;20
83;1.27E-11;20
84;1.25E-11;20
85;1.23E-11;20
86;1.23E-11;20
87;1.26E-11;20
88;1.29E-11;20
89;1.31E-11;20
90;1.34E-11;20
91;1.36E-11;20
92;1.39E-11;20
93;1.41E-11;20
94;1.44E-11;20
95;1.49E-11;20
96;1.54E-11;20
97;1.59E-11;20
98;1.64E-11;20
99;1.69E-11;20
100;1.74E-11;20
101;1.79E-11;20
102;1.84E-11;20
103;1.89E-11;20
104;1.88E-11;20
105;1.85E-11;20
106;1.82E-11;20
107;1.79E-11;20
108;1.76E-11;20
109;1.73E-11;20
110;1.70E-11;20
111;1.67E-11;20
112;1.64E-11;20
113;1.61E-11;20
114;1.58E-11;20
115;1.64E-11;20
116;1.70E-11;20
117;1.75E-11;20
118;1.81E-11;20
119;1.86E-11;20
120;1.92E-11;20
121;1.97E-11;20
122;2.03E-11;20
123;2.09E-11;20
124;2.12E-11;20
125;2.14E-11;20
126;2.15E-11;20
127;2.16E-11;20
128;2.17E-11;20
129;2.18E-11;20
130;2.19E-11;20
131;2.20E-11;20
132;2.22E-11;20
133;2.23E-11;20
134;2.24E-11;20
135;2.25E-11;20
136;2.25E-11;20
137;2.25E-11;20
138;2.26E-11;20
139;2.26E-11;20
140;2.26E-11;20
141;2.26E-11;20
142;2.26E-11;20
143;2.26E-11;20
144;2.27E-11;20
145;2.27E-11;20
146;2.27E-11;20
147;2.27E-11;20
148;2.28E-11;20
149;2.28E-11;20
150;2.28E-11;20
151;2.29E-11;20
152;2.29E-11;20
153;2.30E-11;20
154;2.30E-11;20
155;2.31E-11;20
156;2.31E-11;20
157;2.31E-11;20
158;2.32E-11;20
159;2.31E-11;20
160;2.29E-11;20
161;2.27E-11;20
162;2.26E-11;20
163;2.24E-11;20
164;2.22E-11;20
165;2.20E-11;20
166;2.18E-11;20
167;2.16E-11;20
168;2.15E-11;20
169;2.13E-11;20
170;2.11E-11;20
171;2.09E-11;20
172;2.08E-11;20
173;2.07E-11;20
174;2.06E-11;20
175;2.05E-11;20
176;2.04E-11;20
177;2.02E-11;20
178;2.01E-11;20
179;2.00E-11;20
180;1.99E-11;20
181;1.98E-11;20
