t;step_number;time_in_days;soil_temperature;sucrose_input_rate
0;0;0;4.614067597;2.39E-12
1;0.041666667;0.041666667;4.671140795;2.61E-12
2;0.083333333;0.083333333;4.728213993;2.83E-12
3;0.125;0.125;4.785287192;3.06E-12
4;0.166666667;0.166666667;4.84236039;3.28E-12
5;0.208333333;0.208333333;4.899433588;3.50E-12
6;0.25;0.25;4.956506786;3.72E-12
7;0.291666667;0.291666667;5.013579984;3.94E-12
8;0.333333333;0.333333333;5.070653182;4.16E-12
9;0.375;0.375;5.127726381;4.38E-12
10;0.416666667;0.416666667;5.184799579;4.61E-12
11;0.458333333;0.458333333;5.241872777;4.83E-12
12;0.5;0.5;5.298945975;5.05E-12
13;0.541666667;0.541666667;5.356019173;5.27E-12
14;0.583333333;0.583333333;5.413092371;5.49E-12
15;0.625;0.625;5.47016557;5.72E-12
16;0.666666667;0.666666667;5.527238768;5.94E-12
17;0.708333333;0.708333333;5.584311966;6.16E-12
18;0.75;0.75;5.641385164;6.38E-12
19;0.791666667;0.791666667;5.698458362;6.60E-12
20;0.833333333;0.833333333;5.75553156;6.82E-12
21;0.875;0.875;5.812604759;7.05E-12
22;0.916666667;0.916666667;5.869677957;7.27E-12
23;0.958333333;0.958333333;5.926751155;7.49E-12
24;1;1;5.983824353;7.71E-12
25;1.041666667;1.041666667;6.06720055;8.03E-12
26;1.083333333;1.083333333;6.150576746;8.36E-12
27;1.125;1.125;6.233952943;8.68E-12
28;1.166666667;1.166666667;6.31732914;9.01E-12
29;1.208333333;1.208333333;6.400705337;9.33E-12
30;1.25;1.25;6.484081533;9.66E-12
31;1.291666667;1.291666667;6.56745773;9.98E-12
32;1.333333333;1.333333333;6.650833927;1.03E-11
33;1.375;1.375;6.734210123;1.06E-11
34;1.416666667;1.416666667;6.81758632;1.10E-11
35;1.458333333;1.458333333;6.900962517;1.13E-11
36;1.5;1.5;6.984338714;1.16E-11
37;1.541666667;1.541666667;7.06771491;1.19E-11
38;1.583333333;1.583333333;7.151091107;1.23E-11
39;1.625;1.625;7.234467304;1.26E-11
40;1.666666667;1.666666667;7.3178435;1.29E-11
41;1.708333333;1.708333333;7.401219697;1.32E-11
42;1.75;1.75;7.484595894;1.36E-11
43;1.791666667;1.791666667;7.56797209;1.39E-11
44;1.833333333;1.833333333;7.651348287;1.42E-11
45;1.875;1.875;7.734724484;1.45E-11
46;1.916666667;1.916666667;7.818100681;1.49E-11
47;1.958333333;1.958333333;7.901476877;1.52E-11
48;2;2;7.984853074;1.55E-11
49;2.041666667;2.041666667;7.980663566;1.55E-11
50;2.083333333;2.083333333;7.976474058;1.55E-11
51;2.125;2.125;7.972284549;1.55E-11
52;2.166666667;2.166666667;7.968095041;1.54E-11
53;2.208333333;2.208333333;7.963905533;1.54E-11
54;2.25;2.25;7.959716025;1.54E-11
55;2.291666667;2.291666667;7.955526516;1.54E-11
56;2.333333333;2.333333333;7.951337008;1.54E-11
57;2.375;2.375;7.9471475;1.54E-11
58;2.416666667;2.416666667;7.942957992;1.53E-11
59;2.458333333;2.458333333;7.938768483;1.53E-11
60;2.5;2.5;7.934578975;1.53E-11
61;2.541666667;2.541666667;7.930389467;1.53E-11
62;2.583333333;2.583333333;7.926199959;1.53E-11
63;2.625;2.625;7.92201045;1.53E-11
64;2.666666667;2.666666667;7.917820942;1.52E-11
65;2.708333333;2.708333333;7.913631434;1.52E-11
66;2.75;2.75;7.909441925;1.52E-11
67;2.791666667;2.791666667;7.905252417;1.52E-11
68;2.833333333;2.833333333;7.901062909;1.52E-11
69;2.875;2.875;7.896873401;1.52E-11
70;2.916666667;2.916666667;7.892683893;1.51E-11
71;2.958333333;2.958333333;7.888494384;1.51E-11
72;3;3;7.884304876;1.51E-11
73;3.041666667;3.041666667;7.84919135;1.50E-11
74;3.083333333;3.083333333;7.814077824;1.48E-11
75;3.125;3.125;7.778964297;1.47E-11
76;3.166666667;3.166666667;7.743850771;1.46E-11
77;3.208333333;3.208333333;7.708737245;1.44E-11
78;3.25;3.25;7.673623719;1.43E-11
79;3.291666667;3.291666667;7.638510192;1.41E-11
80;3.333333333;3.333333333;7.603396666;1.40E-11
81;3.375;3.375;7.56828314;1.39E-11
82;3.416666667;3.416666667;7.533169614;1.37E-11
83;3.458333333;3.458333333;7.498056087;1.36E-11
84;3.5;3.5;7.462942561;1.35E-11
85;3.541666667;3.541666667;7.427829035;1.33E-11
86;3.583333333;3.583333333;7.392715508;1.32E-11
87;3.625;3.625;7.357601982;1.30E-11
88;3.666666667;3.666666667;7.322488456;1.29E-11
89;3.708333333;3.708333333;7.28737493;1.28E-11
90;3.75;3.75;7.252261403;1.26E-11
91;3.791666667;3.791666667;7.217147877;1.25E-11
92;3.833333333;3.833333333;7.182034351;1.24E-11
