t;water_root_shoot_xylem;AA_root_shoot_phloem;soil_temperature
0;0;3.96E-07;8.0516
1;0;3.97E-07;8.05107128
2;0;3.97E-07;8.05054512
3;0;3.97E-07;8.05002152
4;0;3.97E-07;8.04950048
5;0;3.97E-07;8.048982
6;0;3.97E-07;8.04846608
7;0;3.98E-07;8.04795272
8;0;3.98E-07;8.04744192
9;0;3.98E-07;8.04693368
10;0;3.98E-07;8.046428
11;0;3.98E-07;8.04592488
12;0;3.99E-07;8.04542432
13;0;3.99E-07;8.04492632
14;0;3.99E-07;8.04443088
15;0;3.99E-07;8.043938
16;0;3.99E-07;8.04344768
17;0;3.99E-07;8.04295992
18;0;4.00E-07;8.04247472
19;0;4.00E-07;8.04199208
20;0;4.00E-07;8.041512
21;0;4.00E-07;8.04103448
22;0;4.00E-07;8.04055952
23;0;4.01E-07;8.04008712
24;0;4.01E-07;8.03961728
25;0;4.01E-07;8.03915
26;0;4.01E-07;8.03868528
27;0;4.01E-07;8.03822312
28;0;4.01E-07;8.03776352
29;0;4.02E-07;8.03730648
30;0;4.02E-07;8.036852
31;0;4.02E-07;8.03640008
32;0;4.02E-07;8.03595072
33;0;4.02E-07;8.03550392
34;0;4.03E-07;8.03505968
35;0;4.03E-07;8.034618
36;0;4.03E-07;8.03417888
37;0;4.03E-07;8.03374232
38;0;4.03E-07;8.03330832
39;0;4.03E-07;8.03287688
40;0;4.04E-07;8.032448
41;0;4.04E-07;8.03202168
42;0;4.04E-07;8.03159792
43;0;4.04E-07;8.03117672
44;0;4.04E-07;8.03075808
45;0;4.05E-07;8.030342
46;0;4.05E-07;8.02992848
47;0;4.05E-07;8.02951752
48;0;4.05E-07;8.02910912
49;0;4.05E-07;8.02870328
50;0;4.05E-07;8.0283
51;0;4.06E-07;8.02789928
52;0;4.06E-07;8.02750112
53;0;4.06E-07;8.02710552
54;0;4.06E-07;8.02671248
55;0;4.06E-07;8.026322
56;0;4.07E-07;8.02593408
57;0;4.07E-07;8.02554872
58;0;4.07E-07;8.02516592
59;0;4.07E-07;8.02478568
60;0;4.07E-07;8.024408
61;0;4.07E-07;8.02403288
62;0;4.08E-07;8.02366032
63;0;4.08E-07;8.02329032
64;0;4.08E-07;8.02292288
65;0;4.08E-07;8.022558
66;0;4.08E-07;8.02219568
67;0;4.09E-07;8.02183592
68;0;4.09E-07;8.02147872
69;0;4.09E-07;8.02112408
70;0;4.09E-07;8.020772
71;0;4.09E-07;8.02042248
72;0;4.09E-07;8.02007552
73;0;4.10E-07;8.01973112
74;0;4.10E-07;8.01938928
75;0;4.10E-07;8.01905
76;0;4.10E-07;8.01871328
77;0;4.10E-07;8.01837912
78;0;4.11E-07;8.01804752
79;0;4.11E-07;8.01771848
80;0;4.11E-07;8.017392
81;0;4.11E-07;8.01706808
82;0;4.11E-07;8.01674672
83;0;4.11E-07;8.01642792
84;0;4.12E-07;8.01611168
85;0;4.12E-07;8.015798
86;0;4.12E-07;8.01548688
87;0;4.12E-07;8.01517832
88;0;4.12E-07;8.01487232
89;0;4.12E-07;8.01456888
90;0;4.13E-07;8.014268
91;0;4.13E-07;8.01396968
92;0;4.13E-07;8.01367392
93;0;4.13E-07;8.01338072
94;0;4.13E-07;8.01309008
95;0;4.14E-07;8.012802
96;0;4.14E-07;8.01251648
97;0;4.14E-07;8.01223352
98;0;4.14E-07;8.01195312
99;0;4.14E-07;8.01167528
100;0;4.14E-07;8.0114
101;0;4.15E-07;8.01112728
102;0;4.15E-07;8.01085712
103;0;4.15E-07;8.01058952
104;0;4.15E-07;8.01032448
105;0;4.15E-07;8.010062
106;0;4.16E-07;8.00980208
107;0;4.16E-07;8.00954472
108;0;4.16E-07;8.00928992
109;0;4.16E-07;8.00903768
110;0;4.16E-07;8.008788
111;0;4.16E-07;8.00854088
112;0;4.17E-07;8.00829632
113;0;4.17E-07;8.00805432
114;0;4.17E-07;8.00781488
115;0;4.17E-07;8.007578
116;0;4.17E-07;8.00734368
117;0;4.18E-07;8.00711192
118;0;4.18E-07;8.00688272
119;0;4.18E-07;8.00665608
120;0;4.18E-07;8.006432
121;0;4.18E-07;8.00621048
122;0;4.18E-07;8.00599152
123;0;4.19E-07;8.00577512
124;0;4.19E-07;8.00556128
125;0;4.19E-07;8.00535
126;0;4.19E-07;8.00514128
127;0;4.19E-07;8.00493512
128;0;4.20E-07;8.00473152
129;0;4.20E-07;8.00453048
130;0;4.20E-07;8.004332
131;0;4.20E-07;8.00413608
132;0;4.20E-07;8.00394272
133;0;4.20E-07;8.00375192
134;0;4.21E-07;8.00356368
135;0;4.21E-07;8.003378
136;0;4.21E-07;8.00319488
137;0;4.21E-07;8.00301432
138;0;4.21E-07;8.00283632
139;0;4.22E-07;8.00266088
140;0;4.22E-07;8.002488
141;0;4.22E-07;8.00231768
142;0;4.22E-07;8.00214992
143;0;4.22E-07;8.00198472
144;0;4.22E-07;8.00182208
145;0;4.23E-07;8.001662
146;0;4.23E-07;8.00150448
147;0;4.23E-07;8.00134952
148;0;4.23E-07;8.00119712
149;0;4.23E-07;8.00104728
150;0;4.24E-07;8.0009
151;0;4.24E-07;8.00075528
152;0;4.24E-07;8.00061312
153;0;4.24E-07;8.00047352
154;0;4.24E-07;8.00033648
155;0;4.24E-07;8.000202
156;0;4.25E-07;8.00007008
157;0;4.25E-07;7.99994072
158;0;4.25E-07;7.99981392
159;0;4.25E-07;7.99968968
160;0;4.25E-07;7.999568
161;0;4.26E-07;7.99944888
162;0;4.26E-07;7.99933232
163;0;4.26E-07;7.99921832
164;0;4.26E-07;7.99910688
165;0;4.26E-07;7.998998
166;0;4.26E-07;7.99889168
167;0;4.27E-07;7.99878792
168;0;4.27E-07;7.99868672
169;0;4.27E-07;7.99858808
170;0;4.27E-07;7.998492
171;0;4.27E-07;7.99839848
172;0;4.28E-07;7.99830752
173;0;4.28E-07;7.99821912
174;0;4.28E-07;7.99813328
175;0;4.28E-07;7.99805
176;0;4.28E-07;7.99796928
177;0;4.28E-07;7.99789112
178;0;4.29E-07;7.99781552
179;0;4.29E-07;7.99774248
180;0;4.29E-07;7.997672
181;0;4.29E-07;7.99760408
182;0;4.29E-07;7.99753872
183;0;4.29E-07;7.99747592
184;0;4.30E-07;7.99741568
185;0;4.30E-07;7.997358
186;0;4.30E-07;7.99730288
187;0;4.30E-07;7.99725032
188;0;4.30E-07;7.99720032
189;0;4.31E-07;7.99715288
190;0;4.31E-07;7.997108
191;0;4.31E-07;7.99706568
192;0;4.31E-07;7.99702592
193;0;4.31E-07;7.99698872
194;0;4.31E-07;7.99695408
195;0;4.32E-07;7.996922
196;0;4.32E-07;7.99689248
197;0;4.32E-07;7.99686552
198;0;4.32E-07;7.99684112
199;0;4.32E-07;7.99681928
200;0;4.33E-07;7.9968
201;0;4.33E-07;7.99678328
202;0;4.33E-07;7.99676912
203;0;4.33E-07;7.99675752
204;0;4.33E-07;7.99674848
205;0;4.33E-07;7.996742
206;0;4.34E-07;7.99673808
207;0;4.34E-07;7.99673672
208;0;4.34E-07;7.99673792
209;0;4.34E-07;7.99674168
210;0;4.34E-07;7.996748
211;0;4.35E-07;7.99675688
212;0;4.35E-07;7.99676832
213;0;4.35E-07;7.99678232
214;0;4.35E-07;7.99679888
215;0;4.35E-07;7.996818
216;0;4.35E-07;7.99683968
217;0;4.36E-07;7.99686392
218;0;4.36E-07;7.99689072
219;0;4.36E-07;7.99692008
220;0;4.36E-07;7.996952
221;0;4.36E-07;7.99698648
222;0;4.37E-07;7.99702352
223;0;4.37E-07;7.99706312
224;0;4.37E-07;7.99710528
225;0;4.37E-07;7.99715
226;0;4.37E-07;7.99719728
227;0;4.37E-07;7.99724712
228;0;4.38E-07;7.99729952
229;0;4.38E-07;7.99735448
230;0;4.38E-07;7.997412
231;0;4.38E-07;7.99747208
232;0;4.38E-07;7.99753472
233;0;4.39E-07;7.99759992
234;0;4.39E-07;7.99766768
235;0;4.39E-07;7.997738
236;0;4.39E-07;7.99781088
237;0;4.39E-07;7.99788632
238;0;4.39E-07;7.99796432
239;0;4.40E-07;7.99804488
240;0;4.40E-07;7.998128
241;0;4.40E-07;7.99821368
242;0;4.40E-07;7.99830192
243;0;4.40E-07;7.99839272
244;0;4.41E-07;7.99848608
245;0;4.41E-07;7.998582
246;0;4.41E-07;7.99868048
247;0;4.41E-07;7.99878152
248;0;4.41E-07;7.99888512
249;0;4.41E-07;7.99899128
250;0;4.42E-07;7.9991
251;0;4.42E-07;7.99921128
252;0;4.42E-07;7.99932512
253;0;4.42E-07;7.99944152
254;0;4.42E-07;7.99956048
255;0;4.43E-07;7.999682
256;0;4.43E-07;7.99980608
257;0;4.43E-07;7.99993272
258;0;4.43E-07;8.00006192
259;0;4.43E-07;8.00019368
260;0;4.43E-07;8.000328
261;0;4.44E-07;8.00046488
262;0;4.44E-07;8.00060432
263;0;4.44E-07;8.00074632
264;0;4.44E-07;8.00089088
265;0;4.44E-07;8.001038
266;0;4.45E-07;8.00118768
267;0;4.45E-07;8.00133992
268;0;4.45E-07;8.00149472
269;0;4.45E-07;8.00165208
270;0;4.45E-07;8.001812
271;0;4.45E-07;8.00197448
272;0;4.46E-07;8.00213952
273;0;4.46E-07;8.00230712
274;0;4.46E-07;8.00247728
275;0;4.46E-07;8.00265
276;0;4.46E-07;8.00282528
277;0;4.46E-07;8.00300312
278;0;4.47E-07;8.00318352
279;0;4.47E-07;8.00336648
280;0;4.47E-07;8.003552
281;0;4.47E-07;8.00374008
282;0;4.47E-07;8.00393072
283;0;4.48E-07;8.00412392
284;0;4.48E-07;8.00431968
285;0;4.48E-07;8.004518
286;0;4.48E-07;8.00471888
287;0;4.48E-07;8.00492232
288;1.35E-07;4.48E-07;8.00512832
289;1.36E-07;4.49E-07;8.00533688
290;1.36E-07;4.49E-07;8.005548
291;1.36E-07;4.49E-07;8.00576168
292;1.36E-07;4.49E-07;8.00597792
293;1.36E-07;4.49E-07;8.00619672
294;1.36E-07;4.50E-07;8.00641808
295;1.36E-07;4.50E-07;8.006642
296;1.36E-07;4.50E-07;8.00686848
297;1.36E-07;4.50E-07;8.00709752
298;1.36E-07;4.50E-07;8.00732912
299;1.36E-07;4.50E-07;8.00756328
300;2.50E-06;4.51E-07;8.0078
301;1.04E-05;4.51E-07;8.00803928
302;1.01E-05;4.51E-07;8.00828112
303;9.35E-06;4.51E-07;8.00852552
304;8.11E-06;4.51E-07;8.00877248
305;6.41E-06;4.51E-07;8.009022
306;4.24E-06;4.51E-07;8.00927408
307;1.35E-07;4.51E-07;8.00952872
308;1.36E-07;4.51E-07;8.00978592
309;1.36E-07;4.51E-07;8.01004568
310;1.36E-07;4.51E-07;8.010308
311;1.36E-07;4.51E-07;8.01057288
312;1.36E-07;4.51E-07;8.01084032
313;1.36E-07;4.51E-07;8.01111032
314;1.36E-07;4.51E-07;8.01138288
315;1.36E-07;4.51E-07;8.011658
316;1.36E-07;4.51E-07;8.01193568
317;1.36E-07;4.51E-07;8.01221592
318;1.36E-07;4.51E-07;8.01249872
319;2.50E-06;4.51E-07;8.01278408
320;5.02E-06;4.51E-07;8.013072
321;7.07E-06;4.51E-07;8.01336248
322;8.65E-06;4.51E-07;8.01365552
323;9.76E-06;4.51E-07;8.01395112
324;1.04E-05;4.00E-07;8.01424928
325;1.06E-05;4.39E-07;8.01455
326;1.03E-05;4.39E-07;8.01485328
327;9.49E-06;4.42E-07;8.01515912
328;8.23E-06;4.47E-07;8.01546752
329;6.51E-06;4.54E-07;8.01577848
330;4.31E-06;4.64E-07;8.016092
331;1.37E-07;4.77E-07;8.01640808
332;1.38E-07;5.00E-07;8.01672672
333;1.38E-07;5.00E-07;8.01704792
334;1.38E-07;5.00E-07;8.01737168
335;1.38E-07;5.00E-07;8.017698
336;1.38E-07;4.99E-07;8.01802688
337;1.38E-07;4.99E-07;8.01835832
338;1.38E-07;4.99E-07;8.01869232
339;1.38E-07;4.99E-07;8.01902888
340;1.38E-07;4.99E-07;8.019368
341;1.38E-07;4.99E-07;8.01970968
342;1.38E-07;4.99E-07;8.02005392
343;2.54E-06;4.99E-07;8.02040072
344;5.09E-06;4.86E-07;8.02075008
345;7.17E-06;4.73E-07;8.021102
346;8.78E-06;4.62E-07;8.02145648
347;9.91E-06;4.54E-07;8.02181352
348;1.06E-05;4.48E-07;8.02217312
349;1.07E-05;4.46E-07;8.02253528
350;1.04E-05;4.45E-07;8.0229
